Date,Total,Month,Day,Year
Dec-72,174.6,12,1,1972
Jan-73,152.1,1,1,1973
Feb-73,145.7,2,1,1973
Mar-73,184.4,3,1,1973
Apr-73,185.4,4,1,1973
May-73,191.7,5,1,1973
Jun-73,193.7,6,1,1973
Jul-73,157.3,7,1,1973
Aug-73,162.9,8,1,1973
Sep-73,125.2,9,1,1973
Oct-73,122.9,10,1,1973
Nov-73,107.2,11,1,1973
Dec-73,91.1,12,1,1973
Jan-74,87.5,1,1,1974
Feb-74,86.7,2,1,1974
Mar-74,120.1,3,1,1974
Apr-74,130.9,4,1,1974
May-74,116.5,5,1,1974
Jun-74,102.2,6,1,1974
Jul-74,95.5,7,1,1974
Aug-74,81.7,8,1,1974
Sep-74,66.8,9,1,1974
Oct-74,71.1,10,1,1974
Nov-74,55.1,11,1,1974
Dec-74,60.3,12,1,1974
Jan-75,43.5,1,1,1975
Feb-75,45.2,2,1,1975
Mar-75,60.5,3,1,1975
Apr-75,89.3,4,1,1975
May-75,91.2,5,1,1975
Jun-75,94,6,1,1975
Jul-75,98.7,7,1,1975
Aug-75,85.3,8,1,1975
Sep-75,90.6,9,1,1975
Oct-75,95.2,10,1,1975
Nov-75,73.2,11,1,1975
Dec-75,72.5,12,1,1975
Jan-76,67.6,1,1,1976
Feb-76,73.4,2,1,1976
Mar-76,110.6,3,1,1976
Apr-76,117,4,1,1976
May-76,112.7,5,1,1976
Jun-76,122.7,6,1,1976
Jul-76,113.7,7,1,1976
Aug-76,116.9,8,1,1976
Sep-76,125.8,9,1,1976
Oct-76,117.5,10,1,1976
Nov-76,114,11,1,1976
Dec-76,104.2,12,1,1976
Jan-77,80.2,1,1,1977
Feb-77,97.3,2,1,1977
Mar-77,158.2,3,1,1977
Apr-77,161.2,4,1,1977
May-77,162.3,5,1,1977
Jun-77,175.9,6,1,1977
Jul-77,145.7,7,1,1977
Aug-77,164.5,8,1,1977
Sep-77,144.2,9,1,1977
Oct-77,146.1,10,1,1977
Nov-77,135.9,11,1,1977
Dec-77,118.4,12,1,1977
Jan-78,97.2,1,1,1978
Feb-78,105.7,2,1,1978
Mar-78,166.5,3,1,1978
Apr-78,175.3,4,1,1978
May-78,177.9,5,1,1978
Jun-78,200.2,6,1,1978
Jul-78,151.9,7,1,1978
Aug-78,159.3,8,1,1978
Sep-78,152.4,9,1,1978
Oct-78,160.7,10,1,1978
Nov-78,138,11,1,1978
Dec-78,115.4,12,1,1978
Jan-79,88.1,1,1,1979
Feb-79,91.7,2,1,1979
Mar-79,151.3,3,1,1979
Apr-79,147.1,4,1,1979
May-79,164.1,5,1,1979
Jun-79,156.3,6,1,1979
Jul-79,138.9,7,1,1979
Aug-79,151.9,8,1,1979
Sep-79,140.7,9,1,1979
Oct-79,140.5,10,1,1979
Nov-79,99.6,11,1,1979
Dec-79,81.6,12,1,1979
Jan-80,76.8,1,1,1980
Feb-80,77.9,2,1,1980
Mar-80,83.2,3,1,1980
Apr-80,77.3,4,1,1980
May-80,79,5,1,1980
Jun-80,103.1,6,1,1980
Jul-80,115.5,7,1,1980
Aug-80,118.2,8,1,1980
Sep-80,144.3,9,1,1980
Oct-80,129.3,10,1,1980
Nov-80,96.8,11,1,1980
Dec-80,89.2,12,1,1980
Jan-81,72.8,1,1,1981
Feb-81,74.4,2,1,1981
Mar-81,103.3,3,1,1981
Apr-81,113.3,4,1,1981
May-81,102.3,5,1,1981
Jun-81,95.4,6,1,1981
Jul-81,85.9,7,1,1981
Aug-81,75.9,8,1,1981
Sep-81,82.5,9,1,1981
Oct-81,66.8,10,1,1981
Nov-81,54.9,11,1,1981
Dec-81,58.1,12,1,1981
Jan-82,47.6,1,1,1982
Feb-82,52.4,2,1,1982
Mar-82,81,3,1,1982
Apr-82,82.7,4,1,1982
May-82,82.2,5,1,1982
Jun-82,89.4,6,1,1982
Jul-82,92.2,7,1,1982
Aug-82,82.4,8,1,1982
Sep-82,101.2,9,1,1982
Oct-82,99.7,10,1,1982
Nov-82,93.2,11,1,1982
Dec-82,96.5,12,1,1982
Jan-83,83.7,1,1,1983
Feb-83,93.4,2,1,1983
Mar-83,135.5,3,1,1983
Apr-83,138.8,4,1,1983
May-83,150.7,5,1,1983
Jun-83,173.2,6,1,1983
Jul-83,148.6,7,1,1983
Aug-83,155.5,8,1,1983
Sep-83,149.5,9,1,1983
Oct-83,142.6,10,1,1983
Nov-83,124.7,11,1,1983
Dec-83,108.9,12,1,1983
Jan-84,114.1,1,1,1984
Feb-84,130.1,2,1,1984
Mar-84,152.3,3,1,1984
Apr-84,161,4,1,1984
May-84,169.4,5,1,1984
Jun-84,172.3,6,1,1984
Jul-84,141.5,7,1,1984
Aug-84,142.6,8,1,1984
Sep-84,131.9,9,1,1984
Oct-84,137.3,10,1,1984
Nov-84,122.9,11,1,1984
Dec-84,106.5,12,1,1984
Jan-85,106.4,1,1,1985
Feb-85,104.4,2,1,1985
Mar-85,146,3,1,1985
Apr-85,160.8,4,1,1985
May-85,168.9,5,1,1985
Jun-85,156.5,6,1,1985
Jul-85,158.4,7,1,1985
Aug-85,159.5,8,1,1985
Sep-85,168.8,9,1,1985
Oct-85,157.5,10,1,1985
Nov-85,118.6,11,1,1985
Dec-85,127.5,12,1,1985
Jan-86,118.3,1,1,1986
Feb-86,111.1,2,1,1986
Mar-86,152.8,3,1,1986
Apr-86,182.2,4,1,1986
May-86,170.2,5,1,1986
Jun-86,173.7,6,1,1986
Jul-86,167.1,7,1,1986
Aug-86,146.5,8,1,1986
Sep-86,153.7,9,1,1986
Oct-86,150.2,10,1,1986
Nov-86,110.3,11,1,1986
Dec-86,133.4,12,1,1986
Jan-87,101,1,1,1987
Feb-87,102,2,1,1987
Mar-87,152.1,3,1,1987
Apr-87,157.9,4,1,1987
May-87,137.3,5,1,1987
Jun-87,157.5,6,1,1987
Jul-87,142,7,1,1987
Aug-87,128.9,8,1,1987
Sep-87,136.5,9,1,1987
Oct-87,124,10,1,1987
Nov-87,102.2,11,1,1987
Dec-87,93.4,12,1,1987
Jan-88,71.7,1,1,1988
Feb-88,93.3,2,1,1988
Mar-88,140.4,3,1,1988
Apr-88,135.3,4,1,1988
May-88,138.7,5,1,1988
Jun-88,153.9,6,1,1988
Jul-88,121.7,7,1,1988
Aug-88,137.3,8,1,1988
Sep-88,127.9,9,1,1988
Oct-88,124,10,1,1988
Nov-88,110,11,1,1988
Dec-88,101.4,12,1,1988
Jan-89,88.5,1,1,1989
Feb-89,86,2,1,1989
Mar-89,116.4,3,1,1989
Apr-89,122.9,4,1,1989
May-89,135.2,5,1,1989
Jun-89,137.2,6,1,1989
Jul-89,108.3,7,1,1989
Aug-89,125.6,8,1,1989
Sep-89,110.7,9,1,1989
Oct-89,116.5,10,1,1989
Nov-89,98.9,11,1,1989
Dec-89,92.3,12,1,1989
Jan-90,112.6,1,1,1990
Feb-90,82.8,2,1,1990
Mar-90,111,3,1,1990
Apr-90,105.8,4,1,1990
May-90,107.9,5,1,1990
Jun-90,111.6,6,1,1990
Jul-90,96.2,7,1,1990
Aug-90,99.8,8,1,1990
Sep-90,79.2,9,1,1990
Oct-90,82.5,10,1,1990
Nov-90,67.8,11,1,1990
Dec-90,53.6,12,1,1990
Jan-91,51.5,1,1,1991
Feb-91,54.1,2,1,1991
Mar-91,78.7,3,1,1991
Apr-91,90.9,4,1,1991
May-91,98.3,5,1,1991
Jun-91,93.2,6,1,1991
Jul-91,91.3,7,1,1991
Aug-91,84.9,8,1,1991
Sep-91,80.6,9,1,1991
Oct-91,89.8,10,1,1991
Nov-91,67.1,11,1,1991
Dec-91,68.5,12,1,1991
Jan-92,67.9,1,1,1992
Feb-92,72.6,2,1,1992
Mar-92,97.7,3,1,1992
Apr-92,103.9,4,1,1992
May-92,97.1,5,1,1992
Jun-92,109.2,6,1,1992
Jul-92,101.1,7,1,1992
Aug-92,93,8,1,1992
Sep-92,99.2,9,1,1992
Oct-92,97.1,10,1,1992
Nov-92,76.4,11,1,1992
Dec-92,79.5,12,1,1992
Jan-93,67.1,1,1,1993
Feb-93,73.1,2,1,1993
Mar-93,99.1,3,1,1993
Apr-93,107.3,4,1,1993
May-93,101.7,5,1,1993
Jun-93,117.8,6,1,1993
Jul-93,104.5,7,1,1993
Aug-93,111.9,8,1,1993
Sep-93,111.5,9,1,1993
Oct-93,107,10,1,1993
Nov-93,98.1,11,1,1993
Dec-93,100.1,12,1,1993
Jan-94,80.7,1,1,1994
Feb-94,81.7,2,1,1994
Mar-94,126.4,3,1,1994
Apr-94,127.6,4,1,1994
May-94,131.4,5,1,1994
Jun-94,138.8,6,1,1994
Jul-94,114.8,7,1,1994
Aug-94,131.5,8,1,1994
Sep-94,127.2,9,1,1994
Oct-94,117,10,1,1994
Nov-94,100.5,11,1,1994
Dec-94,94.2,12,1,1994
Jan-95,78,1,1,1995
Feb-95,80.4,2,1,1995
Mar-95,111.5,3,1,1995
Apr-95,109.7,4,1,1995
May-95,122.8,5,1,1995
Jun-95,129.3,6,1,1995
Jul-95,115.6,7,1,1995
Aug-95,133.5,8,1,1995
Sep-95,124.1,9,1,1995
